query	142 references	11546 citations	Language Models are Few-Shot Learners
citation	218971783	259064252	0	Can LLMs like GPT-4 outperform traditional AI tools in dementia diagnosis? Maybe, but not today
citation	218971783	259064270	0	GAIA Search: Hugging Face and Pyserini Interoperability for NLP Training Data Exploration
citation	218971783	259063841	0	Unsupervised Paraphrasing of Multiword Expressions
citation	218971783	259063725	0	Towards In-context Scene Understanding
citation	218971783	259063958	0	BabySLM: language-acquisition-friendly benchmark of self-supervised spoken language models
citation	218971783	259063952	0	Is Model Attention Aligned with Human Attention? An Empirical Study on Large Language Models for Code Generation
citation	218971783	259075607	0	Knowledge of cultural moral norms in large language models
citation	218971783	259075604	0	VisualGPTScore: Visio-Linguistic Reasoning with Multimodal Generative Pre-Training Scores
citation	218971783	259075884	0	Binary and Ternary Natural Language Generation
citation	218971783	259076170	0	Concurrent Classifier Error Detection (CCED) in Large Scale Machine Learning Systems
citation	218971783	259075412	0	Overcoming the Stability Gap in Continual Learning
citation	218971783	259076356	0	Maximum Likelihood Training of Autoencoders
citation	218971783	259075709	0	Probabilistic Adaptation of Text-to-Video Models
citation	218971783	259075521	0	AI Transparency in the Age of LLMs: A Human-Centered Research Roadmap
citation	218971783	258999480	1	Transformers learn to implement preconditioned gradient descent for in-context learning
citation	218971783	258999949	0	Preference-grounded Token-level Guidance for Language Model Fine-tuning
citation	218971783	258999153	0	Minding Language Models' (Lack of) Theory of Mind: A Plug-and-Play Multi-Character Belief Tracker
citation	218971783	259064324	0	Learning Transformer Programs
citation	218971783	259064000	0	LLMatic: Neural Architecture Search via Large Language Models and Quality-Diversity Optimization
citation	218971783	257648177	1	Transformer-based deep reverse attention network for multi-sensory human activity recognition
citation	218971783	258120544	0	Leveraging Large Language Models to Enhance Digital Health in Cardiology: A Preview of a Cutting-Edge Language Generation Model
citation	218971783	254968300	3	The Future of Management: DAO to Smart Organizations and Intelligent Operations
citation	218971783	248332757	0	Semantic Learning for Facial Action Unit Detection
citation	218971783	258870210	0	Efficient Few-Shot Classification via Contrastive Pretraining on Web Data
citation	218971783	258936390	0	A quantitative study of non-linearity in storytelling
citation	218971783	258998007	0	Zero-shot Interpretable Phenotyping of Postpartum Hemorrhage Using Large Language Models
citation	218971783	258999187	0	Birth of a Transformer: A Memory Viewpoint
citation	218971783	258999319	0	Learning Sampling Dictionaries for Efficient and Generalizable Robot Motion Planning with Transformers
citation	218971783	258999410	0	In-Context Learning User Simulators for Task-Oriented Dialog Systems
citation	218971783	258999114	0	Adapting Pre-trained Language Models to Vision-Language Tasks via Dynamic Visual Prompting
citation	218971783	258999277	0	End-to-end Knowledge Retrieval with Multi-modal Queries
citation	218971783	258999195	1	LIV: Language-Image Representations and Rewards for Robotic Control
citation	218971783	258999304	1	Challenges and Remedies to Privacy and Security in AIGC: Exploring the Potential of Privacy Computing, Blockchain, and Beyond
citation	218971783	258999607	1	Make Your Pre-trained Model Reversible: From Parameter to Memory Efficient Fine-Tuning
citation	218971783	258999611	0	Cross Modal Data Discovery over Structured and Unstructured Data Lakes
citation	218971783	258999483	1	Thought Cloning: Learning to Think while Acting by Imitating Human Thinking
citation	218971783	258999962	0	GPT4Image: Can Large Pre-trained Models Help Vision Models on Perception Tasks?
citation	218971783	258999306	0	Prompt Algebra for Task Composition
citation	218971783	258999192	0	Nonparametric Identifiability of Causal Representations from Unknown Interventions
citation	218971783	258999580	0	Column Type Annotation using ChatGPT
citation	218971783	258999584	0	The feasibility of artificial consciousness through the lens of neuroscience
citation	218971783	258999563	0	STEVE-1: A Generative Model for Text-to-Behavior in Minecraft
citation	218971783	258999481	0	Inspecting Spoken Language Understanding from Kids for Basic Math Learning at Home
citation	218971783	259000022	0	MEWL: Few-shot multimodal word learning with referential uncertainty
citation	218971783	259000160	0	Towards Foundation Models for Scientific Machine Learning: Characterizing Scaling and Transfer Behavior
citation	218971783	258999826	1	Coneheads: Hierarchy Aware Attention
citation	218971783	258999878	0	Effective Structured Prompting by Meta-Learning and Representative Verbalizer
citation	218971783	258999776	0	AvatarStudio: Text-driven Editing of 3D Dynamic Human Head Avatars
citation	218971783	258999835	0	Exposing Attention Glitches with Flip-Flop Language Modeling
citation	218971783	258999985	0	How Generative Spoken Language Modeling Encodes Noisy Speech: Investigation from Phonetics to Syntactics
citation	218971783	258999941	2	AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration
citation	218971783	259029804	0	BinBench: a benchmark for x64 portable operating system interface binary function representations
citation	218971783	259032638	0	Real-time simulations of ADF STEM probe position-integrated scattering cross-sections for single element fcc crystals in zone axis orientation using a densely connected neural network.
citation	218971783	259047693	0	Natural Language Generation and Understanding of Big Code for AI-Assisted Programming: A Review
citation	218971783	259061914	0	CHATGPT: FRIEND OR FOE IN MEDICAL WRITING? AN EXAMPLE OF HOW CHATGPT CAN BE UTILIZED IN WRITING CASE REPORTS
citation	218971783	259063920	0	Towards Learning Discrete Representations via Self-Supervision for Wearables-Based Human Activity Recognition
citation	218971783	259064083	0	Consistency-guided Prompt Learning for Vision-Language Models
citation	218971783	259064259	0	White-Box Transformers via Sparse Rate Reduction
citation	218971783	259063761	4	The RefinedWeb Dataset for Falcon LLM: Outperforming Curated Corpora with Web Data, and Web Data Only
citation	218971783	259064204	0	Examining the Causal Effect of First Names on Language Models: The Case of Social Commonsense Reasoning
citation	218971783	259064264	0	Reimagining Retrieval Augmented Language Models for Answering Queries
citation	218971783	259079899	0	The emergent role of artificial intelligence, natural learning processing, and large language models in higher education and research.
citation	218971783	259100399	2	Faster sorting algorithms discovered using deep reinforcement learning
citation	218971783	258033198	0	Specializing Neural Networks for Cryptographic Code Completion Applications
citation	218971783	259179744	0	Micro/Nano Circuits and Systems Design and Design Automation: Challenges and Opportunities
citation	218971783	247096805	1	Wor(l)d-GAN: Toward Natural-Language-Based PCG in Minecraft
citation	218971783	258987272	0	Improving CLIP Training with Language Rewrites
citation	218971783	258987371	0	PlaSma: Making Small Language Models Better Procedural Knowledge Models for (Counterfactual) Planning
citation	218971783	258987322	0	Explanations as Features: LLM-Based Features for Text-Attributed Graphs
citation	218971783	258988045	0	Large Language Models Are Not Abstract Reasoners
citation	218971783	258987814	0	IDAS: Intent Discovery with Abstractive Summarization
citation	218971783	258987259	0	The Impact of Positional Encoding on Length Generalization in Transformers
citation	218971783	258987414	0	LMCap: Few-shot Multilingual Image Captioning by Retrieval Augmented Language Model Prompting
citation	218971783	258987361	0	DOTA: A Dynamically-Operated Photonic Tensor Core for Energy-Efficient Transformer Accelerator
citation	218971783	258990115	0	Primal-Attention: Self-attention through Asymmetric Kernel SVD in Primal Representation
citation	218971783	258987325	0	What does the Failure to Reason with "Respectively" in Zero/Few-Shot Settings Tell Us about Language Models?
citation	218971783	258990121	0	Evaluating Machine Learning Models with NERO: Non-Equivariance Revealed on Orbits
citation	218971783	258987445	0	ChatGPT an ENFJ, Bard an ISTJ: Empirical Study on Personalities of Large Language Models
citation	218971783	258987376	0	MetaDiffuser: Diffusion Model as Conditional Planner for Offline Meta-RL
citation	218971783	258987341	0	Deliberate then Generate: Enhanced Prompting Framework for Text Generation
citation	218971783	258987846	0	AI for Low-Code for AI
citation	218971783	258987792	0	Fine-grained Text Style Transfer with Diffusion-Based Language Models
citation	218971783	258987850	0	Adam Accumulation to Reduce Memory Footprints of both Activations and Gradients for Large-scale DNN Training
citation	218971783	258987923	0	Knowledge Base Question Answering for Space Debris Queries
citation	218971783	258987852	0	Representation-Driven Reinforcement Learning
citation	218971783	258987679	0	Chatting Makes Perfect - Chat-based Image Retrieval
citation	218971783	258987886	0	Exploring Lottery Prompts for Pre-trained Language Models
citation	218971783	258987410	0	Zero-Shot Automatic Pronunciation Assessment
citation	218971783	258999218	0	Measuring the Robustness of Natural Language Processing Models to Domain Shifts
citation	218971783	258999384	0	Representation Reliability and Its Impact on Downstream Tasks
citation	218971783	258999320	0	Multilingual Multi-Figurative Language Detection
citation	218971783	258999603	2	MERT: Acoustic Music Understanding Model with Large-Scale Self-supervised Training
citation	218971783	258999352	0	Using Visual Cropping to Enhance Fine-Detail Question Answering of BLIP-Family Models
citation	218971783	258999849	0	MuseCoco: Generating Symbolic Music from Text
citation	218971783	259000016	0	Automated Annotation with Generative AI Requires Validation
citation	218971783	258999914	0	Majority Rule: better patching via Self-Consistency
citation	218971783	259075881	0	Evaluating GPT's Programming Capability through CodeWars' Katas
citation	218971783	259089165	2	CrystalGPT: Enhancing system-to-system transferability in crystallization prediction and control using time-series-transformers
citation	218971783	259129503	0	Augmentation-aware Self-supervised Learning with Guided Projector
citation	218971783	254223269	0	An Invariant Learning Characterization of Controlled Text Generation
citation	218971783	258967776	0	Beyond One-Model-Fits-All: A Survey of Domain Specialization for Large Language Models
citation	218971783	259015006	0	Research on the Intelligent Construction of UAV Knowledge Graph Based on Attentive Semantic Representation
citation	218971783	258967618	0	Dissecting Chain-of-Thought: A Study on Compositional In-Context Learning of MLPs
citation	218971783	258967448	0	Shuo Wen Jie Zi: Rethinking Dictionaries and Glyphs for Chinese Language Pre-training
citation	218971783	258987402	0	What and How does In-Context Learning Learn? Bayesian Model Averaging, Parameterization, and Generalization
citation	218971783	258844825	0	Evaluating Human Eye Features for Objective Measure of Working Memory Capacity
citation	218971783	258967215	0	Universality and Limitations of Prompt Tuning
citation	218971783	258967184	3	GPT4Tools: Teaching Large Language Model to Use Tools via Self-instruction
citation	218971783	258967177	0	Likelihood-Based Diffusion Language Models
citation	218971783	258967395	0	Cross Encoding as Augmentation: Towards Effective Educational Text Classification
citation	218971783	258967345	1	Grammar Prompting for Domain-Specific Language Generation with Large Language Models
citation	218971783	258967442	0	Multi-modal Queried Object Detection in the Wild
citation	218971783	258967931	0	Client: Cross-variable Linear Integrated Enhanced Transformer for Multivariate Long-Term Time Series Forecasting
citation	218971783	258967872	0	Does Conceptual Representation Require Embodiment? Insights From Large Language Models
citation	218971783	258967990	0	Empirical Sufficiency Lower Bounds for Language Modeling with Locally-Bootstrapped Semantic Structures
citation	218971783	258968140	0	The Magic of IF: Investigating Causal Reasoning Abilities in Large Language Models of Code
citation	218971783	258967987	0	Controlled Text Generation with Hidden Representation Transformations
citation	218971783	258967791	0	LANCE: Stress-testing Visual Models by Generating Language-guided Counterfactual Images
citation	218971783	258967855	0	Generate then Select: Open-ended Visual Question Answering Guided by World Knowledge
citation	218971783	258967721	1	NetHack is Hard to Hack
citation	218971783	258987797	0	Dynamic Sparsity Is Channel-Level Sparsity Learner
citation	218971783	258987968	0	Blockwise Parallel Transformer for Long Context Large Models
citation	218971783	258987995	0	LLM-BRAIn: AI-driven Fast Generation of Robot Behaviour Tree based on Large Language Model
citation	218971783	258987774	0	Are Large Kernels Better Teachers than Transformers for ConvNets?
citation	218971783	258987746	0	ScoNe: Benchmarking Negation Reasoning in Language Models With Fine-Tuning and In-Context Learning
citation	218971783	258999642	0	Self-Verification Improves Few-Shot Clinical Information Extraction
citation	218971783	258999680	1	GPT4GEO: How a Language Model Sees the World's Geography
citation	218971783	259003434	0	Similarity index of ex-Gaussian reaction time signatures
citation	218971783	259009558	0	Large Language Models and Logical Reasoning
citation	218971783	259045048	0	Developing Conversational Agent Using Deep Learning Techniques
citation	218971783	259076021	1	Conceptual Design Generation Using Large Language Models
citation	218971783	259125899	0	cMolGPT: A Conditional Generative Pre-Trained Transformer for Target-Specific De Novo Molecular Generation
citation	218971783	259077311	1	Unicorn: A Unified Multi-tasking Model for Supporting Matching Tasks in Data Integration
citation	218971783	259077364	0	Discovering Top-k Rules using Subjective and Objective Criteria
citation	218971783	258967462	1	A Systematic Study and Comprehensive Evaluation of ChatGPT on Benchmark Datasets
citation	218971783	258968056	0	Explicit Visual Prompting for Universal Foreground Segmentations
citation	218971783	258959117	0	LLM-QAT: Data-Free Quantization Aware Training for Large Language Models
citation	218971783	258959485	0	The Utility of Large Language Models and Generative AI for Education Research
citation	218971783	258967391	1	Faith and Fate: Limits of Transformers on Compositionality
citation	218971783	258959011	0	Contextual Object Detection with Multimodal Large Language Models
citation	218971783	258959425	1	InstructEdit: Improving Automatic Masks for Diffusion-based Image Editing With User Instructions
citation	218971783	258959021	0	Deeply Coupled Cross-Modal Prompt Learning
citation	218971783	258959069	0	Syntax and Semantics Meet in the "Middle": Probing the Syntax-Semantics Interface of LMs Through Agentivity
citation	218971783	258959424	0	Test-Time Adaptation with CLIP Reward for Zero-Shot Generalization in Vision-Language Models
citation	218971783	258959148	0	Ask an Expert: Leveraging Language Models to Improve Strategic Reasoning in Goal-Oriented Dialogue Models
citation	218971783	258959002	2	RAPHAEL: Text-to-Image Generation via Large Mixture of Diffusion Paths
citation	218971783	258959521	0	Assess and Summarize: Improve Outage Understanding with Large Language Models
citation	218971783	258959126	0	Perceived Trustworthiness of Natural Language Generators
citation	218971783	258959321	5	Direct Preference Optimization: Your Language Model is Secretly a Reward Model
citation	218971783	258959258	0	Do Large Language Models Know What They Don't Know?
citation	218971783	258959304	0	LM-CPPF: Paraphrasing-Guided Data Augmentation for Contrastive Prompt-Based Few-Shot Fine-Tuning
citation	218971783	258959366	0	ContrastNER: Contrastive-based Prompt Tuning for Few-shot NER
citation	218971783	258960280	0	LaFTer: Label-Free Tuning of Zero-shot Classifier using Language and Unlabeled Image Collections
citation	218971783	258960366	0	Exploring Effectiveness of GPT-3 in Grammatical Error Correction: A Study on Performance and Controllability in Prompt-Based Methods
citation	218971783	258960177	0	Beyond Confidence: Reliable Models Should Also Consider Atypicality
citation	218971783	258960497	0	BigTrans: Augmenting Large Language Models with Multilingual Translation Capability over 100 Languages
citation	218971783	258960560	2	ChatGPT-powered Conversational Drug Editing Using Retrieval and Domain Feedback
citation	218971783	258960584	0	Multiscale Positive-Unlabeled Detection of AI-Generated Texts
citation	218971783	258960339	5	Large Language Models are not Fair Evaluators
citation	218971783	258960179	0	Check-COVID: Fact-Checking COVID-19 News Claims with Scientific Evidence
citation	218971783	258967373	1	Alfred: A System for Prompted Weak Supervision
citation	218971783	258967393	0	Approximation theory of transformer networks for sequence modeling
citation	218971783	258967447	0	Test-Time Training on Nearest Neighbors for Large Language Models
citation	218971783	258967438	0	Aligning Optimization Trajectories with Diffusion Models for Constrained Design Generation
citation	218971783	258967319	0	Code Prompting: a Neural Symbolic Method for Complex Reasoning in Large Language Models
citation	218971783	258967670	3	PaLI-X: On Scaling up a Multilingual Vision and Language Model
citation	218971783	258967728	0	SANE: The phases of gradient descent through Sharpness Adjusted Number of Effective parameters
citation	218971783	258967736	0	How Effective Are Neural Networks for Fixing Security Vulnerabilities
citation	218971783	258968166	0	Self Information Update for Large Language Models through Mitigating Exposure Bias
citation	218971783	258967920	0	SlimFit: Memory-Efficient Fine-Tuning of Transformer-based Models Using Training Dynamics
citation	218971783	258967783	0	Short Answer Grading Using One-shot Prompting and Text Similarity Scoring Model
citation	218971783	258967965	1	From Adversarial Arms Race to Model-centric Evaluation: Motivating a Unified Automatic Robustness Evaluation Framework
citation	218971783	258968054	0	Diffusion Model is an Effective Planner and Data Synthesizer for Multi-Task Reinforcement Learning
citation	218971783	258967371	0	VAST: A Vision-Audio-Subtitle-Text Omni-Modality Foundation Model and Dataset
citation	218971783	258968005	0	Trompt: Towards a Better Deep Neural Network for Tabular Data
citation	218971783	258960723	0	Realistic and broad-scope learning simulations: first results and challenges.
citation	218971783	258999501	0	Brainformers: Trading Simplicity for Efficiency
citation	218971783	259075755	0	Voluminous yet Vacuous? Semantic Capital in an Age of Large Language Models
citation	218971783	259165200	0	Chatbots to ChatGPT in a Cybersecurity Space: Evolution, Vulnerabilities, Attacks, Challenges, and Future Recommendations
citation	218971783	258959097	0	In-Context Analogical Reasoning with Pre-Trained Language Models
citation	218971783	258959248	0	Large Language Models, scientific knowledge and factuality: A systematic analysis in antibiotic discovery
citation	218971783	258959326	0	Generating EDU Extracts for Plan-Guided Summary Re-Ranking
citation	218971783	258960254	0	FuseCap: Leveraging Large Language Models to Fuse Visual Data into Enriched Image Captions
citation	218971783	258960340	0	Prompt-Guided Retrieval Augmentation for Non-Knowledge-Intensive Tasks
citation	218971783	258960289	2	NOTABLE: Transferable Backdoor Attacks Against Prompt-based NLP Models
citation	218971783	258967501	0	Repeated Random Sampling for Minimizing the Time-to-Accuracy of Learning
citation	218971783	258967252	0	Knowledge-Augmented Reasoning Distillation for Small Language Models in Knowledge-Intensive Tasks
citation	218971783	258959174	0	Rethinking Masked Language Modeling for Chinese Spelling Correction
citation	218971783	258959489	0	Evaluating GPT-3 Generated Explanations for Hateful Content Moderation
citation	218971783	258959055	0	Breaking Language Barriers with a LEAP: Learning Strategies for Polyglot LLMs
citation	218971783	258959450	0	Language Models are Pragmatic Speakers
citation	218971783	258959215	1	Robust Natural Language Understanding with Residual Attention Debiasing
citation	218971783	258960308	0	Whitening-based Contrastive Learning of Sentence Embeddings
citation	218971783	258960506	0	Targeted Data Generation: Finding and Fixing Model Weaknesses
citation	218971783	258960363	0	Incentivizing honest performative predictions with proper scoring rules
citation	218971783	258960671	0	ConaCLIP: Exploring Distillation of Fully-Connected Knowledge Interaction Graph for Lightweight Text-Image Retrieval
citation	218971783	258960333	0	LowDINO - A Low Parameter Self Supervised Learning Model
citation	218971783	258967656	0	Understanding Breast Cancer Survival: Using Causality and Language Models on Multi-omics Data
citation	218971783	258967265	0	Mitigating Label Biases for In-context Learning
citation	218971783	258967220	0	Distill Gold from Massive Ores: Efficient Dataset Distillation via Critical Samples Selection
citation	218971783	258967500	0	LLMs Can Understand Encrypted Prompt: Towards Privacy-Computing Friendly Transformers
citation	218971783	258968063	0	Feature-Learning Networks Are Consistent Across Widths At Realistic Scales
citation	218971783	258967906	0	Pruning Meets Low-Rank Parameter-Efficient Fine-Tuning
citation	218971783	258967932	0	KAFA: Rethinking Image Ad Understanding with Knowledge-Augmented Feature Adaptation of Vision-Language Models
citation	218971783	259075746	0	A Quantitative Review on Language Model Efficiency Research
citation	218971783	258960101	0	DNA-GPT: Divergent N-Gram Analysis for Training-Free Detection of GPT-Generated Text
citation	218971783	258959274	2	Fine-Tuning Language Models with Just Forward Passes
citation	218971783	258960666	0	Augmentation-Adapted Retriever Improves Generalization of Language Models as Generic Plug-In
citation	218971783	258987240	4	The Curse of Recursion: Training on Generated Data Makes Models Forget
citation	218971783	258959004	0	Scalable Transformer for PDE Surrogate Modeling
citation	218971783	258959415	0	Translatotron 3: Speech to Speech Translation with Monolingual Data
citation	218971783	258959349	0	MeetingBank: A Benchmark Dataset for Meeting Summarization
citation	218971783	258959201	0	FERMAT: An Alternative to Accuracy for Numerical Reasoning
citation	218971783	258960577	0	Zero- and Few-Shot Event Detection via Prompt-Based Meta Learning
citation	218971783	258960309	0	FISEdit: Accelerating Text-to-image Editing via Cache-enabled Sparse Diffusion Inference
citation	218971783	258960143	0	SwiftSage: A Generative Agent with Fast and Slow Thinking for Complex Interactive Tasks
citation	218971783	258960431	0	Modularized Zero-shot VQA with Pre-trained Models
citation	218971783	258960174	0	Integrating Action Knowledge and LLMs for Task Planning and Situation Handling in Open Worlds
citation	218971783	258960382	0	Unsupervised Selective Rationalization with Noise Injection
citation	218971783	258960487	0	Toward Understanding Generative Data Augmentation
citation	218971783	258967365	0	What indeed can GPT models do in chemistry? A comprehensive benchmark on eight tasks
citation	218971783	254045651	0	A Novel Method for Predicting 16S rRNA Gene Copy Number
citation	218971783	258947337	1	AdaPlanner: Adaptive Planning from Feedback with Language Models
citation	218971783	258941519	0	Zero is Not Hero Yet: Benchmarking Zero-Shot Performance of LLMs for Financial Tasks
citation	218971783	258947096	0	NormMark: A Weakly Supervised Markov Model for Socio-cultural Norm Discovery
citation	218971783	258947107	0	A Closer Look at In-Context Learning under Distribution Shifts
citation	218971783	258947250	1	NavGPT: Explicit Reasoning in Vision-and-Language Navigation with Large Language Models
citation	218971783	258947684	0	Beyond Chain-of-Thought, Effective Graph-of-Thought Reasoning in Large Language Models
citation	218971783	258967200	0	CONA: A novel CONtext-Aware instruction paradigm for communication using large language model
citation	218971783	258956575	0	ChatGPT and Open-AI Models: A Preliminary Review
citation	218971783	258947115	1	Playing repeated games with Large Language Models
citation	218971783	258947459	0	Neural Architecture Search for Parameter-Efficient Fine-tuning of Large Pre-trained Language Models
citation	218971783	258947398	0	Manifold Regularization for Memory-Efficient Training of Deep Neural Networks
citation	218971783	258947604	0	Improving accuracy of GPT-3/4 results on biomedical data using a retrieval-augmented language model
citation	218971783	258959299	0	Im-Promptu: In-Context Composition from Image Prompts
citation	218971783	258947047	0	Few-shot Fine-tuning vs. In-context Learning: A Fair Comparison and Evaluation
citation	218971783	258947048	0	Submodular Minimax Optimization: Finding Effective Sets
citation	218971783	258947061	0	MultiTool-CoT: GPT-3 Can Use Multiple External Tools with Chain of Thought Prompting
citation	218971783	258947060	0	Learning to Imagine: Visually-Augmented Natural Language Generation
citation	218971783	258947132	0	Expand, Rerank, and Retrieve: Query Reranking for Open-Domain Question Answering
citation	218971783	258947102	1	Do GPTs Produce Less Literal Translations?
citation	218971783	258947125	0	A Multi-Scale Attentive Transformer for Multi-Instrument Symbolic Music Generation
citation	218971783	258947177	0	On Evaluating Adversarial Robustness of Large Vision-Language Models
citation	218971783	258947254	0	DataFinder: Scientific Dataset Recommendation from Natural Language Descriptions
citation	218971783	258947222	4	Large Language Models as Tool Makers
citation	218971783	258947339	0	LANISTR: Multimodal Learning from Structured and Unstructured Data
citation	218971783	258947312	0	A Mechanism for Sample-Efficient In-Context Learning for Sparse Retrieval Tasks
citation	218971783	258947235	0	Hierarchical Verbalizer for Few-Shot Hierarchical Text Classification
citation	218971783	258947225	0	Annotating and Detecting Fine-grained Factual Errors for Dialogue Summarization
citation	218971783	258947331	0	BiomedGPT: A Unified and Generalist Biomedical Generative Pre-trained Transformer for Vision, Language, and Multimodal Tasks
citation	218971783	258947371	0	Counterfactual reasoning: Testing language models' understanding of hypothetical scenarios
citation	218971783	258947403	0	PIP: Parse-Instructed Prefix for Syntactically Controlled Paraphrase Generation
citation	218971783	258947572	0	Parameter-Efficient Fine-Tuning without Introducing New Latency
citation	218971783	258947535	0	Zero-shot Visual Question Answering with Language Model Feedback
citation	218971783	258947533	0	Accelerated evolution of Burgers turbulence with coarse projective integration and deep learning
citation	218971783	258947593	0	Discovering Novel Actions in an Open World with Object-Grounded Visual Commonsense Reasoning
citation	218971783	258947729	1	Emergent Agentic Transformer from Chain of Hindsight Experience
citation	218971783	258947640	0	Efficient Detection of LLM-generated Texts with a Bayesian Surrogate Model
citation	218971783	258947413	0	Evaluation of Question Generation Needs More References
citation	218971783	258947629	0	On the Computational Power of Decoder-Only Transformer Language Models
citation	218971783	258947773	0	Data-Driven Optimization for Deposition with Degradable Tools
citation	218971783	258947148	0	Multiview Identifiers Enhanced Generative Retrieval
citation	218971783	258947756	0	Training Socially Aligned Language Models in Simulated Human Society
citation	218971783	258947558	0	Scissorhands: Exploiting the Persistence of Importance Hypothesis for LLM KV Cache Compression at Test Time
citation	218971783	258959016	0	Rate-Distortion Theory in Coding for Machines and its Application
citation	218971783	258959384	0	From Dogwhistles to Bullhorns: Unveiling Coded Rhetoric with Language Models
citation	218971783	258959189	0	Heterogeneous Value Evaluation for Large Language Models
citation	218971783	258959244	0	Large Language Models Can be Lazy Learners: Analyze Shortcuts in In-Context Learning
citation	218971783	258959284	2	Generating Images with Multimodal Language Models
citation	218971783	258959511	0	Honey, I Shrunk the Language: Language Model Behavior at Reduced Scale
citation	218971783	258959387	0	A Knowledge Engineering Primer
citation	218971783	258960342	0	Entailment as Robust Self-Learner
citation	218971783	258960421	0	Pulse shape discrimination based on the Tempotron: a powerful classifier on GPU
citation	218971783	258960587	0	XGrad: Boosting Gradient-Based Optimizers With Weight Prediction
citation	218971783	258967422	0	Attention Paper: How Generative AI Reshapes Digital Shadow Industry?
citation	218971783	258987840	0	Enhancing Human Capabilities through Symbiotic Artificial Intelligence with Shared Sensory Experiences
citation	218971783	258987785	0	Large language models improve Alzheimer's disease diagnosis using multi-modality data
citation	218971783	258999853	1	SQL-PaLM: Improved Large Language Model Adaptation for Text-to-SQL
citation	218971783	258887676	0	Automated Tensor Model Parallelism with Overlapped Communication for Efficient Foundation Model Training
citation	218971783	258887944	1	ChatBridge: Bridging Modalities with Large Language Model as a Language Catalyst
citation	218971783	258887822	0	Understanding the Capabilities of Large Language Models for Automated Planning
citation	218971783	258888192	3	Scaling Data-Constrained Language Models
citation	218971783	258887773	0	UFO: Unified Fact Obtaining for Commonsense Question Answering
citation	218971783	258887626	0	Asking Before Action: Gather Information in Embodied Decision Making with Language Models
citation	218971783	258887849	6	Voyager: An Open-Ended Embodied Agent with Large Language Models
citation	218971783	258947127	0	Scan and Snap: Understanding Training Dynamics and Token Composition in 1-layer Transformer
citation	218971783	258887838	2	On the Robustness of Segment Anything
citation	218971783	258887355	0	Image is First-order Norm+Linear Autoregressive
citation	218971783	258887831	0	Efficient Document Embeddings via Self-Contrastive Bregman Divergence Learning
citation	218971783	258887814	1	POPE: 6-DoF Promptable Pose Estimation of Any Object, in Any Scene, with One Reference
citation	218971783	258887528	0	Zero-shot Approach to Overcome Perturbation Sensitivity of Prompts
citation	218971783	258887816	0	Linguistic Properties of Truthful Response
citation	218971783	258887701	0	On the Impact of Knowledge Distillation for Model Interpretability
citation	218971783	258887633	0	Imitating Task and Motion Planning with Visuomotor Transformers
citation	218971783	258887908	0	DiffCLIP: Leveraging Stable Diffusion for Language Grounded 3D Classification
citation	218971783	258887694	0	Self-contradictory Hallucinations of Large Language Models: Evaluation, Detection and Mitigation
citation	218971783	258887482	0	Landmark Attention: Random-Access Infinite Context Length for Transformers
citation	218971783	258887805	0	RewriteLM: An Instruction-Tuned Large Language Model for Text Rewriting
citation	218971783	258888104	0	Empowering Practical Root Cause Analysis by Large Language Models for Cloud Incidents
citation	218971783	258887939	0	Prompt-Free Diffusion: Taking "Text" out of Text-to-Image Diffusion Models
citation	218971783	258887418	0	Emergence of a phonological bias in ChatGPT
citation	218971783	258887872	1	BookGPT: A General Framework for Book Recommendation Empowered by Large Language Model
citation	218971783	258887946	1	ConvGQR: Generative Query Reformulation for Conversational Search
citation	218971783	258888114	0	Training Data Extraction From Pre-trained Language Models: A Survey
citation	218971783	258887821	0	ChatCAD+: Towards a Universal and Reliable Interactive CAD using LLMs
citation	218971783	258888112	1	Uni-ControlNet: All-in-One Control to Text-to-Image Diffusion Models
citation	218971783	258887453	0	Koopman Kernel Regression
citation	218971783	258888240	0	Securing Deep Generative Models with Universal Adversarial Signature
citation	218971783	258888211	1	VioLA: Unified Codec Language Models for Speech Recognition, Synthesis, and Translation
citation	218971783	258922531	0	A Siamese Transformer Network for Zero-Shot Ancient Coin Classification
citation	218971783	258937784	1	A Mathematical Interpretation of Autoregressive Generative Pre-Trained Transformer and Self-Supervised Learning
citation	218971783	258947280	0	DeepGate2: Functionality-Aware Circuit Representation Learning
citation	218971783	258947425	1	On the Tool Manipulation Capability of Open-source Large Language Models
citation	218971783	258947738	0	IMBERT: Making BERT Immune to Insertion-based Backdoor Attacks
citation	218971783	258947657	1	Role-Play with Large Language Models
citation	218971783	258947803	0	The Dangers of trusting Stochastic Parrots: Faithfulness and Trust in Open-domain Conversational Question Answering
citation	218971783	258947721	6	PandaGPT: One Model To Instruction-Follow Them All
citation	218971783	258947600	0	Revisiting Structured Variational Autoencoders
citation	218971783	258947794	0	Label Agnostic Pre-training for Zero-shot Text Classification
citation	218971783	258967564	0	Tuning Models of Code with Compiler-Generated Reinforcement Learning Feedback
citation	218971783	258887561	0	Surface-Based Retrieval Reduces Perplexity of Retrieval-Augmented Language Models
citation	218971783	258865502	2	Clever Hans or Neural Theory of Mind? Stress Testing Social Reasoning in Large Language Models
citation	218971783	258865713	0	Frugal Prompting for Dialog Models
