query	172 references	583 citations	Flamingo: a Visual Language Model for Few-Shot Learning
citation	248476411	251492965	18	Quality Not Quantity: On the Interaction between Dataset Design and Robustness of CLIP
citation	248476411	251493208	36	Patching open-vocabulary models by interpolating weights
citation	248476411	258079019	0	Self-supervised Multi-modal Training from Uncurated Image and Reports Enables Zero-shot Oversight Artificial Intelligence in Radiology
citation	248476411	251402698	4	Learning to Generalize with Object-centric Agents in the Open World Survival Game Crafter
citation	248476411	251320445	6	Prompt Tuning for Generative Multimodal Pretrained Models
citation	248476411	251280143	10	Masked Vision and Language Modeling for Multi-modal Representation Learning
citation	248476411	251280148	2	GPPF: A General Perception Pre-training Framework via Sparsely Activated Multi-Task Learning
citation	248476411	251104951	13	Retrieval-Augmented Transformer for Image Captioning
citation	248476411	251040433	20	Semantic Abstraction: Open-World 3D Scene Understanding from 2D Vision-Language Models
citation	248476411	251018487	3	Do Artificial Intelligence Systems Understand?
citation	248476411	250644116	1	Mimetic Models: Ethical Implications of AI that Acts Like You
citation	248476411	250451569	135	Inner Monologue: Embodied Reasoning through Planning with Language Models
citation	248476411	250426585	2	LaT: Latent Translation with Cycle-Consistency for Video-Text Retrieval
citation	248476411	250426345	54	LM-Nav: Robotic Navigation with Large Pre-Trained Models of Language, Vision, and Action
citation	248476411	250334526	0	Learning Invariant World State Representations with Predictive Coding
citation	248476411	250334766	2	Machine Learning Model Sizes and the Parameter Gap
citation	248476411	249848272	87	Unified-IO: A Unified Model for Vision, Language, and Multi-Modal Tasks
citation	248476411	249848120	10	Bridge-Tower: Building Bridges Between Encoders in Vision-Language Representation Learning
citation	248476411	258378269	1	Know your audience: specializing grounded language models with listener subtraction
citation	248476411	249712016	35	Zero-Shot Video Question Answering via Frozen Bidirectional Language Models
citation	248476411	249674500	425	Emergent Abilities of Large Language Models
citation	248476411	249674874	33	Coarse-to-Fine Vision-Language Pre-training with Fusion in the Backbone
citation	248476411	249674493	34	A Unified Sequence Interface for Vision Tasks
citation	248476411	249642722	18	LIFT: Language-Interfaced Fine-Tuning for Non-Language Machine Learning Tasks
citation	248476411	249642405	43	ProcTHOR: Large-Scale Embodied AI Using Procedural Generation
citation	248476411	249642175	55	Multimodal Learning with Transformers: A Survey
citation	248476411	249626024	33	Language Models are General-Purpose Interfaces
citation	248476411	249626501	12	Multi-instrument Music Synthesis with Spectrogram Diffusion
citation	248476411	249538647	14	Uni-Perceiver-MoE: Learning Sparse Generalist Models with Conditional MoEs
citation	248476411	252693503	0	Spatial Entropy as an Inductive Bias for Vision Transformers
citation	248476411	249431922	2	Impossibility of Collective Intelligence
citation	248476411	254877195	1	Delving into the Openness of CLIP
citation	248476411	249395345	7	Visual Clues: Bridging Vision and Language Foundations for Image Paragraph Captioning
citation	248476411	249282645	20	VL-BEiT: Generative Vision-Language Pretraining
citation	248476411	253553807	4	Language and culture internalization for human-like autotelic AI
citation	248476411	254043926	1	You Can't Count on Luck: Why Decision Transformers and RvS Fail in Stochastic Environments
citation	248476411	249192343	59	Multi-Game Decision Transformers
citation	248476411	249192420	23	Multi-Agent Reinforcement Learning is a Sequence Modeling Problem
citation	248476411	249152323	106	GIT: A Generative Image-to-text Transformer for Vision and Language
citation	248476411	249192306	42	Multimodal Masked Autoencoders Learn Transferable Representations
citation	248476411	249062795	11	Multimodal Knowledge Alignment with Reinforcement Learning
citation	248476411	249063057	5	DisinfoMeme: A Multimodal Dataset for Detecting Meme Intentionally Spreading Out Disinformation
citation	248476411	249062582	12	An Evolutionary Approach to Dynamic Introduction of Tasks in Large-scale Multitask Learning Systems
citation	248476411	249017530	8	Reassessing Evaluation Practices in Visual Question Answering: A Case Study on Out-of-Distribution Generalization
citation	248476411	248987346	31	Language Models with Image Descriptors are Strong Few-Shot Video-Language Learners
citation	248476411	248965029	29	Can Foundation Models Wrangle Your Data?
citation	248476411	248834430	19	A CLIP-Hitchhiker's Guide to Long Video Retrieval
citation	248476411	248722148	239	A Generalist Agent
citation	248476411	248496506	12	Visual Spatial Reasoning
citation	248476411	248392410	67	ViTPose: Simple Vision Transformer Baselines for Human Pose Estimation
citation	248476411	248085427	38	Semantic Exploration from Language Abstractions and Pretrained Representations
citation	248476411	247762352	7	Single-Stream Multi-Level Alignment for Vision-Language Pretraining
citation	248476411	250607486	0	Rethinking Task Sampling for Few-shot Vision-Language Transfer Learning
citation	248476411	246822642	62	Compute Trends Across Three Eras of Machine Learning
citation	248476411	246652372	265	Survey of Hallucination in Natural Language Generation
citation	248476411	245219186	8	Distilled Dual-Encoder Model for Vision-Language Understanding
citation	248476411	251951096	0	Many Heads but One Brain: Fusion Brain -- a Competition and a Single Multimodal Multitask Architecture
citation	248476411	235435890	19	Communicating Natural Programs to Humans and Machines
citation	248476411	227239152	150	Inductive biases for deep learning of higher-level cognition
citation	248476411	256416164	24	Grounding Language Models to Images for Multimodal Generation
citation	248476411	257637217	1	P ROMPT C AP : Prompt-Guided Image Captioning for VQA with GPT-3
citation	248476411	255341299	0	A MULTIAGENT FRAMEWORK
citation	248476411	255999668	3	Self Supervision Does Not Help Natural Language Supervision at Scale
citation	248476411	258378227	1	MAFiD: Moving Average Equipped Fusion-in-Decoder for Question Answering over Tabular and Textual Data
citation	248476411	257833781	97	HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face
citation	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Z 0 Offline Tasks MuZero Offline Pretraining Target Task Action Reward Observation Online Finetuning Stage 1 : Offline MultiTask Pretraining Stage 2 : Online Finetuning On Target Task Concurrent Cross-Task Learning Pretrained Model', 'citationCount': None}
citation	248476411	259190355	0	Your Prompt is My Command: On Assessing the Human-Centred Generality of Multimodal Models
citation	248476411	252275875	1	Vision Encoders in Visual Question Answering
citation	248476411	253802096	12	Retrieval-Augmented Multimodal Language Modeling
citation	248476411	253106323	2	Perception Test : A Diagnostic Benchmark for Multimodal Models
citation	248476411	253098137	2	FCM: Forgetful Causal Masking Makes Causal Language Models Better Zero-Shot Learners
citation	248476411	249209674	21	You Can't Count on Luck: Why Decision Transformers Fail in Stochastic Environments
citation	248476411	249282590	4	Vygotskian Autotelic Artificial Intelligence: Language and Culture Internalization for Human-Like AI
citation	248476411	249538550	8	Words are all you need? Capturing human sensory similarity with textual descriptors
citation	248476411	249712478	1	Know your audience: specializing grounded language models with the game of Dixit
citation	248476411	250385057	0	Non-Markovian Policies for Unsupervised Reinforcement Learning in Multiple Environments
citation	248476411	250602382	2	An Investigation into the Open World Survival Game Crafter
citation	248476411	251467943	0	Alternating Cross-attention Vision-Language Model for Efficient Learning with Medical Image and Report without Curation
citation	248476411	252070437	0	Vision-Language Pretraining Enables Radiographs and Reports to be Learned without Curation
citation	248476411	252118396	36	Foundations and Recent Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions
citation	248476411	252199635	5	Towards Multi-Lingual Visual Question Answering
citation	248476411	252283966	4	CLIPping Privacy: Identity Inference Attacks on Multi-Modal Machine Learning Models
citation	248476411	252668743	2	Prompt Tuning for Graph Neural Networks
citation	248476411	252683844	6	Language-Aware Soft Prompting for Vision & Language Foundation Models
citation	248476411	252715710	0	W HEN AND WHY V ISION -L ANGUAGE M ODELS BE HAVE LIKE B AGS - OF -W ORDS , AND WHAT TO DO ABOUT IT ?
citation	248476411	252716069	10	Variational prompt tuning improves generalization of vision-language models
citation	248476411	252973682	7	DABS 2.0: Improved Datasets and Algorithms for Universal Self-Supervision
citation	248476411	253107174	4	Self-supervised Co-learning of Uncurated Images and Reports Enables Oversight AI in Radiology
citation	248476411	254129024	1	Multimodal Context Carryover
citation	248476411	254227103	0	Meta-Learning Makes a Better Multimodal Few-shot Learner
citation	248476411	254246996	1	Location-Aware Self-Supervised Transformers
citation	248476411	254408745	1	Structured Vision-Language Pretraining for Computational Cooking
citation	248476411	254685730	8	Image-and-Language Understanding from Pixels Only
citation	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Image DINO ViT Slot Attention Decoder Patch Features h N × D feat Slots z K × D slots Reconstructed Patch Features y N × D feat Reconstruction', 'citationCount': None}
citation	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Generator ( G ) Scorers ( E ) Iterative Consensus Video Question', 'citationCount': None}
citation	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Chapter 6 Transformers and visual Transformers', 'citationCount': None}
